id,ownerAgencyName,name,applications,projectStatus,businessValue,projectRisk,lifecycleCustom:plan,lifecycleCustom:phaseIn,lifecycleCustom:phaseOut,lifecycleCustom:endOfLife,lifecycleCustom:actualCompletion
e337edfe-c5fc-4e48-96e8-b226c3930d9c,Accounting & General Services (Dept),IBM iSeries Mini-computers Support,,,,,,,,,
416fa5e1-dbf3-436c-83e0-f35160b59a4e,Accounting & General Services (Dept),Inventory System (Operational),,,,,,,,,
a88f1e3e-0fc1-49cc-b235-ab65fb486732,Accounting & General Services (Dept),Microcomputer Maintenance and Replenishment,,,,,,,,,
d16ad977-fa5a-45d4-8b6b-0a59f0a236ca,Accounting & General Services (Dept),Migrate Skysite Documents to SharePoint,,,,,,,,,
8e9f515d-a9a4-4a2b-8a21-55df47784237,Accounting & General Services (Dept),Network Maintenance,,,,,,,,,
4da84ca8-f14e-4a81-a54d-b6b9d653a231,Accounting & General Services (Dept),Petty Cash System (Operational),,,,,,,,,
efbb6067-e068-456f-aea7-eab5a455c164,Accounting & General Services (Dept),Project Management System,,,,,,,,,
9758a993-0eda-48f7-bbd1-04262d110c26,Accounting & General Services (Dept),Puchase Order System (Operational),,,,,,,,,
f9e33efb-69cc-414f-bd9f-d7932267a5d9,Accounting & General Services (Dept),Sky Site (Operational),,,,,,,,,
a93696c4-177a-44da-93d8-5a3e46aa8d72,Accounting & General Services (Dept),State Asset Management System (SBAM),,,,,,,,,
3658928c-522f-4fba-b824-5ccbf543a161,Accounting & General Services (Dept),Vacation and Sick Leave System (Operational),,,,,,,,,
972f23eb-b063-40d5-8528-0ac68cb8443b,Accounting & General Services (Dept),Website Maintenance,,,,,,,,,
15146f90-9479-4c5a-8182-03d7bd5147df,Accounting & General Services (Dept) / Accounting Division,Bond Fund System (Operational),Bond Fund,,,,,,,,
17a8c30a-86a5-4138-875f-0e4d3d988dfe,Accounting & General Services (Dept) / Accounting Division,Datamart,,,,,,,,,
2747ed6b-c9a2-4266-8c6e-5429055d10a0,Accounting & General Services (Dept) / Accounting Division,Statewide Financial Modernization,AIR AIRFAMIS;BUF - BPPM - Budget Request System/eAnalyt;BUF - BPPM - Budget Request System/eBuddi;BUF - BPPM - Budget Request System/eTitles;BUF - BPPM - Budget Request System/eVar;BUF - BPPM - Budget Request System/eXwalk;BUF - BPPM - Revenue System/eRev;BUF - BPPM - eBuddi;FAMIS Financial Accounting & Management Information System,green,significantBusinessBenefit,highProjectRisk,2019-01-01,,,,
c37180b2-9695-46f7-9b7a-3269f35f3e60,Accounting & General Services (Dept) / Administrative Services Office,Annual 1099 Reporting (Operational),,,,,,,,,
9ad1040f-9b88-4766-be67-306359d2f822,Accounting & General Services (Dept) / Administrative Services Office,FMS - Financial Management System (Operational),,,,,,,,,
1beac0d0-34b9-47f0-9c73-71ae3f2b8b8b,Accounting & General Services (Dept) / Administrative Services Office,Journal Voucher System (Operational),,,,,,,,,
13f160fe-89cd-4883-b89e-3ce2cd32d97b,Accounting & General Services (Dept) / Administrative Services Office,Risk Management System (Operational),,,,,,,,,
abab1c39-542b-4a4a-91d7-7dcd9a59c329,Accounting & General Services (Dept) / Aloha Stadium Authority,Aloha Stadium Incident Management System,,,,,,,,,
13228186-aae9-4057-bdf7-fa5c1a4cb9da,Accounting & General Services (Dept) / Archives Division,Digital Archives,,,,,,,,,
d2efd131-cafc-42bf-9eb2-edefac9e35fe,Accounting & General Services (Dept) / Archives Division,Digital Archives NAS Storage,,,,,,,,,
beeff4ad-1fbd-4f62-801a-a5f522559def,Accounting & General Services (Dept) / Archives Division,Digital Archives Online Catalogue,,,,,,,,,
a708666d-86f7-41e6-b8ab-6360a2d4b522,Accounting & General Services (Dept) / Archives Division,Digital Archives- Roll-Out and Records Ingestion,,,,,,,,,
969a65d6-7009-42cb-8702-61690cc5e402,Accounting & General Services (Dept) / Automotive Management Division,Motor Pool and Parking Fixed Asset System (Operational),,,,,,,,,
4e6e9543-f135-446a-a012-7da1ccb18916,Accounting & General Services (Dept) / Automotive Management Division,Motor Pool System (Operational),,,,,,,,,
aaf05e52-a8da-4c25-84fe-74baf0bce348,Accounting & General Services (Dept) / Automotive Management Division,Parking Control System (Operational),,,,,,,,,
7b46ab1e-be3b-40ad-9242-ee5a23c1656c,Accounting & General Services (Dept) / Campaign Spending Commission,Socrata - Non-candidate Committee Dashboard,,,,,,,,,
1b1227c7-66d2-4531-b109-6eee9676ba8a,Accounting & General Services (Dept) / Central Services Division,Materials Inventory System (Operational),,,,,,,,,
5177f0df-3616-4e06-a8ad-c1f19adac5a0,Accounting & General Services (Dept) / Central Services Division,Work Order Request System (Operational),,,,,,,,,
aace6ded-006d-4758-ab85-00155073f681,Accounting & General Services (Dept) / Central Services Division,Work Order System (Operational),,,,,,,,,
b1f1f2a6-06c5-43c6-864c-80df6b9534ba,Accounting & General Services (Dept) / Office of Information Practices,Office of Information Practices - Replacement of Computers,,,,,,,,,
fd95223f-c627-4426-8f52-d045c8851c26,Accounting & General Services (Dept) / Public Works Division,FUTURE: Public Works Project Management System,,,,,,,,,
cdb17d08-3d30-44d7-a878-7dda221aa3ff,Accounting & General Services (Dept) / Public Works Division,Project Financial Accounting System (Operational),,,,,,,,,
